,Analysis,Training Size,[Train Data] - The least error ML model,[Train Data] - RMSE (mean of cv=10),[Train Data] - STD (mean of cv=10),[Train Data] - RMSE(%) (mean of cv=10),[Test Data] - The least error ML model,[Test Data] - RMSE (cv=1),[Test Data] - RMSE(%) (cv=1)
160,12,0.55,Random Forest Regressor,20.041514651759,13.904021115800706,1.9325813451379075,Random Forest Regressor,18.057214181350542,1.7412374203451177
161,12,0.6,Random Forest Regressor,17.877277160882848,13.918446639738617,1.7238862901986225,Random Forest Regressor,14.95687656261137,1.4422752535770123
162,12,0.65,Random Forest Regressor,19.29904634659586,13.337382133132797,1.860985938261386,Random Forest Regressor,14.365827771138798,1.3852810648485698
163,12,0.7,Random Forest Regressor,19.26807078662424,16.279529908473243,1.8579989988809786,Random Forest Regressor,9.351314618561421,0.9017370442488513
164,12,0.75,Random Forest Regressor,19.419907540384184,11.590647530135382,1.8726404510327503,Random Forest Regressor,9.980731518154538,0.9624310276929338
165,12,0.8,Random Forest Regressor,20.131320595512207,12.532270147345878,1.9412412341031713,Random Forest Regressor,11.150131489441343,1.0751949883407548
166,12,0.85,Decision Tree Regressor,21.382777063295347,13.676807499992162,2.061917812990267,Decision Tree Regressor,15.236998970105235,1.4692871510550427
167,12,0.9,Random Forest Regressor,20.662135860373184,12.90179013650878,1.9924271697178093,Random Forest Regressor,8.210529178453148,0.7917323515563911
168,13,0.25,Random Forest Regressor,0.041223005607304214,0.024017725915918543,1.342382218867837,Random Forest Regressor,0.0825884913557151,2.6894041481387765
169,13,0.3,Random Forest Regressor,0.04745127339051431,0.025356845211463287,1.5451989665396082,Random Forest Regressor,0.08457002890487385,2.7539307573178595
170,13,0.35,Random Forest Regressor,0.036365573990434295,0.017946674808354518,1.18420525588828,Random Forest Regressor,0.08781202591695039,2.859502854221514
171,13,0.4,Linear Regressor,0.03771436549938573,0.019564608683197864,1.2281271803550275,Linear Regressor,0.1057986996460532,3.4452192675401645
172,13,0.45,Linear Regressor,0.03829968319984388,0.014975210012957709,1.2471874129098417,Linear Regressor,0.10010158281107212,3.2596988712123403
173,13,0.5,Random Forest Regressor,0.04260566418383664,0.013931585515762184,1.3874069874541763,Random Forest Regressor,0.09159589815498398,2.982720526877191
174,13,0.55,Random Forest Regressor,0.05141052414026093,0.03264431754761596,1.6741276491574832,Random Forest Regressor,0.09374780357096037,3.052794979832175
175,13,0.6,Random Forest Regressor,0.05592773020648963,0.024967587793125367,1.8212255381380216,Random Forest Regressor,0.09241349365874828,3.0093446327692903
176,13,0.65,Linear Regressor,0.06599767503378232,0.033231698708749244,2.149142308931238,Linear Regressor,0.07909372814632418,2.575600995692061
177,13,0.7,Random Forest Regressor,0.06388199480142445,0.04530231822748431,2.0802474895727934,Random Forest Regressor,0.07116517344129848,2.317416258782397
178,13,0.75,Random Forest Regressor,0.06623955714247934,0.036617570017434015,2.1570189359989067,Random Forest Regressor,0.07273049374957694,2.368389207448067
179,13,0.8,Random Forest Regressor,0.06433133442743517,0.03938827559690925,2.0948797444339635,Random Forest Regressor,0.0661364146433556,2.1536602130044638
180,13,0.85,Random Forest Regressor,0.06364819187413381,0.03245059510576592,2.0726339522362873,Random Forest Regressor,0.05878847118985809,1.9143824482731688
181,13,0.9,Random Forest Regressor,0.06992310721049487,0.03418218129255936,2.276969726601553,Random Forest Regressor,0.03582601790565406,1.1666352004393732
182,14,0.25,Linear Regressor,0.029900526263456174,0.01436009126039131,1.1527927864838932,Linear Regressor,0.06397005371045733,2.4663183456583884
183,14,0.3,Linear Regressor,0.025366964965107635,0.01233702984706429,0.9780046668444682,Linear Regressor,0.06767424924776362,2.6091308787057224
184,14,0.35,Linear Regressor,0.03054102297710845,0.010730897054045493,1.1774866659413727,Linear Regressor,0.06663974176226814,2.569246203889804
